video_path,detected_time,ground_truth_time
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-aNEwI2B2.mp4,00:48:35,48:35
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-bQWIg1bU.mp4,00:56:07,56:06
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-HC2XpMcS.mp4,00:55:29,55:29
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-I0oWYp8k.mp4,00:23:36,23:35
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-imVfNQsf.mp4,00:43:50,43:49
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-lHOGKwWM.mp4,00:41:43,41:42
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-m1CSyqag.mp4,00:50:39,50:39
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-mpRGWJws.mp4,00:49:30,49:29
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-P3jHVAqh.mp4,01:19:49,1:19:50
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-TEOKB8S1.mp4,00:43:19,43:19
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-vuCCrEkX.mp4,00:44:58,44:54
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\dokumentární\cze-sd4-wo4wTcDQ.mp4,00:50:39,50:39
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-1qTZZJY2.mp4,00:29:44,29:44
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-A2F8abgI.mp4,00:22:23,22:23
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-cuCsSM1O.mp4,00:41:24,41:24
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-D4tulsWr.mp4,00:41:00,41:00
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-ehitl51c.mp4,00:24:51,24:52
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-lySpht6o.mp4,00:40:19,40:19
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-SKMU3ykF.mp4,00:39:30,39:30
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-vUrZ0kXz.mp4,00:53:54,53:54
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-Xgm826nr.mp4,00:41:15,41:15
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-yseJBMyz.mp4,00:40:26,40:26
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\reality\cze-sd4-Zw1sXcA2.mp4,00:00:00,43:03
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\komedie\cze-sd4-1ZGJCwsO.mp4,00:43:43,43:43
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\komedie\cze-sd4-4GvKYtuL.mp4,00:22:44,22:44
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\all\komedie\cze-sd4-6q7NEIjG.mp4,01:01:11,1:01:10
