video_path,detected_time,ground_truth_time
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\challenge\Results50_01_Bez_litosti.mp4,00:44:15,44:15
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\challenge\Results50_06_Autosalon.mp4,00:48:16,48:16
C:\Users\kerepet.PRIMA-NET\Projects\2025\02_end_credits\challenge\Results50_17_cze-sd4-jaFABoVN.mp4,00:42:16,42:15
